name,size,color,unit_price,barcode,product_code
Compression Training Shrug,XS,Black,7.50,888562318883,Z1T02484 : Z1T02484-XS-BLCK
The Dance Floor Is Calling Long Sleeve Tee,S,Wear It Out White,10.00,888562347258,Z3T000015 : Z3T000015-S-WEOW
Zumba XO High Waisted Biker Shorts,XS,Fire Red,13.00,888562364682,Z1B000139 : Z1B000139-XS-FIRR
Zumba Dance Worldwide Bra,M,Multi,13.00,888562348361,Z1T000030 : Z1T000030-M-MULT
Zumba Dance Worldwide Bra,S,Multi,13.00,888562348354,Z1T000030 : Z1T000030-S-MULT
Zumba Love Sweatshirt,XS,Fire Red,15.00,888562348583,Z1T000035 : Z1T000035-XS-FIRR
Zumba XO Racerback Bra,S,Fire Red,7.50,888562364637,Z1T000215 : Z1T000215-S-FIRR
Zumba XO Racerback Bra,XS,Fire Red,7.50,888562364620,Z1T000215 : Z1T000215-XS-FIRR
Zumba Love Long Sleeve Tee,S,Orchid,13.00,888562349108,Z3T000026 : Z3T000026-S-ORCH
Zumba Love Long Sleeve Tee,XS,Orchid,13.00,888562349092,Z3T000026 : Z3T000026-XS-ORCH
Zumba Dance Co. Ankle Leggings,M,Caution,25.00,888562353839,Z1B000025 : Z1B000025-M-CTIN
Zumba Dance Co. Ankle Leggings,S,Caution,15.00,888562353822,Z1B000025 : Z1B000025-S-CTIN
Zumba Dance Co. Ankle Leggings,XS,Caution,7.50,888562353815,Z1B000025 : Z1B000025-XS-CTIN
Zumba Worldwide Tie-Dye Bra,S,Bold Black,7.50,888562351668,Z1T000036 : Z1T000036-S-BBLK
Zumba Worldwide Tie-Dye Bra,S,Night Sky,7.50,888562351606,Z1T000036 : Z1T000036-S-NSKY
Zumba Worldwide Tie-Dye Bra,XS,Bold Black,7.50,888562351651,Z1T000036 : Z1T000036-XS-BBLK
Zumba Worldwide Tie-Dye Bra,XS,Night Sky,7.50,888562351590,Z1T000036 : Z1T000036-XS-NSKY
Zumba Dance Co. Bra,M,Beige,15.00,888562351736,Z1T000037 : Z1T000037-M-BEIG
Zumba Dance Co. Bra,S,Beige,13.00,888562351729,Z1T000037 : Z1T000037-S-BEIG
Zumba Dance Co. Bra,XS,Beige,15.00,888562351712,Z1T000037 : Z1T000037-XS-BEIG
Dancing On Sunshine Crop Racerback,L,Espresso,7.50,888562351989,Z1T000057 : Z1T000057-L-ESPR
Dancing On Sunshine Crop Racerback,M,Espresso,7.50,888562351972,Z1T000057 : Z1T000057-M-ESPR
Strong ID Long Sleeve Crop Pullover,XS,Sand,15.00,888562350326,S1T000015 : S1T000015-XS-SAND
Zumba Mesh Crop Tank,XS,Bold Black,13.00,888562358117,Z1T000069 : Z1T000069-XS-BBLK
Step Into Happy Bra,S,Wear It Out White,10.00,888562363852,Z1T000182 : Z1T000182-S-WEOW
Zumba Futuristic Bra,S,Bold Black,20.00,888562368314,Z1T000090 : Z1T000090-S-BBLK
Zumba Muy Caliente High Waisted Ankle Leggings,S,Totally Turquoise,25.00,888562372854,Z1B000101 : Z1B000101-S-TOTU
Zumba Muy Caliente High Waisted Ankle Leggings,XS,Totally Turquoise,25.00,888562372847,Z1B000101 : Z1B000101-XS-TOTU
Zumba Stand Together Jogger Sweatpants,XS,Sky Blue,20.00,888562381009,Z1B000132 : Z1B000132-XS-SKBL
Zumba Love High Waisted Crop Leggings,XS,Bold Black,20.00,888562385335,Z1B000155 : Z1B000155-XS-BBLK
Zumba Bold High Waisted Ankle Leggings,S,Purple Pop,15.00,888562388190,Z1B000157 : Z1B000157-S-PUPO
Zumba Bold High Waisted Ankle Leggings,XS,Purple Pop,15.00,888562388183,Z1B000157 : Z1B000157-XS-PUPO
Zumba High Neck Futuristic Crop Pullover,XS,Iridescent,30.00,888562369267,Z1T000102 : Z1T000102-XS-IRDC
Zumba Reversible Core Bra,S,Purple Pop,13.00,888562368161,Z1T000147 : Z1T000147-S-PUPO
Zumba Core Crop Tank,XS,Brick Red,7.50,888562368055,Z1T000148 : Z1T000148-XS-BKRE
Zumba Futuristic Crop Tank,XS,Bold Black,15.00,888562370539,Z1T000183 : Z1T000183-XS-BBLK
Zumba Futuristic Crop Tank,XS,Orchid,10.00,888562370591,Z1T000183 : Z1T000183-XS-ORCH
Zumba Stand Together Scoop Bra,S,Bold Black,13.00,888562377491,Z1T000184 : Z1T000184-S-BBLK
Zumba Prep Crop Bra Tank,S,Purple Power,15.00,888562377798,Z1T000185 : Z1T000185-S-PUPP
Zumba Prep Crop Bra Tank,XS,Bold Black,20.00,888562377729,Z1T000185 : Z1T000185-XS-BBLK
Zumba Prep Crop Bra Tank,XS,Purple Power,13.00,888562377781,Z1T000185 : Z1T000185-XS-PUPP
Zumba Dance Crew Bra,S,Brick Red,20.00,888562377378,Z1T000187 : Z1T000187-S-BKRE
Zumba Happy High Neck Bra,S,Fire Red,15.00,888562383485,Z1T000230 : Z1T000230-S-FIRR
Zumba Happy Twisted Front Bra,M,Purple Pop,13.00,888562388084,Z1T000231 : Z1T000231-M-PUPO
Zumba Happy Twisted Front Bra,S,Purple Pop,15.00,888562388077,Z1T000231 : Z1T000231-S-PUPO
Zumba Happy Twisted Front Bra,XS,Purple Pop,15.00,888562388060,Z1T000231 : Z1T000231-XS-PUPO
Zumba Energy Scoop Bra,S,Orange Marmalade,20.00,888562376234,Z1T000250 : Z1T000250-S-ORMA
Zumba Energy Scoop Bra,XS,Bold Black,20.00,888562376289,Z1T000250 : Z1T000250-XS-BBLK
Zumba Energy Scoop Bra,XS,Orange Marmalade,20.00,888562376227,Z1T000250 : Z1T000250-XS-ORMA
Zumba Bold Pullover Jacket,S,Dried Moss,13.00,888562386127,Z1T000269 : Z1T000269-S-DRMO
Zumba Dance Together Crop Tank,S,Red Hot,15.00,888562390131,Z1T000358 : Z1T000358-S-REHO
Zumba Dance Together Crop Tank,XS,Red Hot,10.00,888562390124,Z1T000358 : Z1T000358-XS-REHO
Zumba Wear Pullover Hoodie,S,Multi,25.00,888562342307,Z1T02677 : Z1T02677-S-MULT
Zumba Music Lab Joggers,S,Multi,25.00,888562373820,Z2B000011 : Z2B000011-S-MULT
Zumba Music Lab Joggers,XS,Multi,25.00,888562373813,Z2B000011 : Z2B000011-XS-MULT
Zumba Dance As One Shorts,XS,Bold Black,7.50,888562380392,Z2B000013 : Z2B000013-XS-BBLK
Zumba Happy Mesh Basketball Shorts,S,Wear It Out White,13.00,888562386752,Z2B000016 : Z2B000016-S-WEOW
Zumba Dance Together Long Sleeve Tee,M,Golden Ticket,13.00,888562380200,Z3T000081 : Z3T000081-M-GOTI
Zumba Dance Together Long Sleeve Tee,S,Golden Ticket,10.00,888562380194,Z3T000081 : Z3T000081-S-GOTI
Strong Way Of Life High Waisted Shorts,L,Dark Charcoal,13.00,888562399998,S1B000012 : S1B000012-L-DARC
Strong Way Of Life High Waisted Shorts,M,Dark Charcoal,20.00,888562399981,S1B000012 : S1B000012-M-DARC
Strong Way Of Life High Waisted Shorts,S,Dark Charcoal,20.00,888562399974,S1B000012 : S1B000012-S-DARC
Strong Way Of Life High Waisted Shorts,XL,Dark Charcoal,15.00,888562400007,S1B000012 : S1B000012-XL-DARC
Strong Way Of Life High Waisted Shorts,XS,Dark Charcoal,15.00,888562399967,S1B000012 : S1B000012-XS-DARC
Bring Your Power High Waisted Crop Leggings,L,Mango,20.00,888562400052,S1B000015 : S1B000015-L-MNGO
Bring Your Power High Waisted Crop Leggings,M,Mango,20.00,888562400045,S1B000015 : S1B000015-M-MNGO
Bring Your Power High Waisted Crop Leggings,S,Mango,25.00,888562400038,S1B000015 : S1B000015-S-MNGO
Bring Your Power High Waisted Crop Leggings,XL,Mango,20.00,888562400069,S1B000015 : S1B000015-XL-MNGO
Bring Your Power High Waisted Crop Leggings,XS,Mango,20.00,888562400021,S1B000015 : S1B000015-XS-MNGO
Strong Everyday High Waisted Ankle Leggings,L,Dark Charcoal,35.00,888562400175,S1B000016 : S1B000016-L-DARC
Strong Everyday High Waisted Ankle Leggings,L,Stone,15.00,888562400113,S1B000016 : S1B000016-L-STON
Strong Everyday High Waisted Ankle Leggings,M,Dark Charcoal,35.00,888562400168,S1B000016 : S1B000016-M-DARC
Strong Everyday High Waisted Ankle Leggings,M,Stone,15.00,888562400106,S1B000016 : S1B000016-M-STON
Strong Everyday High Waisted Ankle Leggings,S,Dark Charcoal,35.00,888562400151,S1B000016 : S1B000016-S-DARC
Strong Everyday High Waisted Ankle Leggings,S,Stone,15.00,888562400090,S1B000016 : S1B000016-S-STON
Strong Everyday High Waisted Ankle Leggings,XL,Dark Charcoal,35.00,888562400182,S1B000016 : S1B000016-XL-DARC
Strong Everyday High Waisted Ankle Leggings,XL,Stone,15.00,888562400120,S1B000016 : S1B000016-XL-STON
Strong Everyday High Waisted Ankle Leggings,XS,Dark Charcoal,35.00,888562400144,S1B000016 : S1B000016-XS-DARC
Strong Everyday High Waisted Ankle Leggings,XS,Stone,25.00,888562400083,S1B000016 : S1B000016-XS-STON
Strong Everyday High Waisted Ankle Leggings,XXL,Stone,35.00,888562400137,S1B000016 : S1B000016-XXL-STON
Bring Your Power Bodysuit,L,Dark Charcoal,25.00,888562400298,S1B000019 : S1B000019-L-DARC
Bring Your Power Bodysuit,M,Dark Charcoal,25.00,888562400281,S1B000019 : S1B000019-M-DARC
Bring Your Power Bodysuit,S,Dark Charcoal,25.00,888562400274,S1B000019 : S1B000019-S-DARC
Bring Your Power Bodysuit,XS,Dark Charcoal,20.00,888562400267,S1B000019 : S1B000019-XS-DARC
Strong Everyday High Neck Bra,L,Dark Charcoal,20.00,888562399707,S1T000022 : S1T000022-L-DARC
Strong Everyday High Neck Bra,L,Stone,15.00,888562399646,S1T000022 : S1T000022-L-STON
Strong Everyday High Neck Bra,M,Dark Charcoal,15.00,888562399691,S1T000022 : S1T000022-M-DARC
Strong Everyday High Neck Bra,M,Stone,15.00,888562399639,S1T000022 : S1T000022-M-STON
Strong Everyday High Neck Bra,S,Dark Charcoal,15.00,888562399684,S1T000022 : S1T000022-S-DARC
Strong Everyday High Neck Bra,S,Stone,15.00,888562399622,S1T000022 : S1T000022-S-STON
Strong Everyday High Neck Bra,XL,Dark Charcoal,20.00,888562399714,S1T000022 : S1T000022-XL-DARC
Strong Everyday High Neck Bra,XL,Stone,15.00,888562399653,S1T000022 : S1T000022-XL-STON
Strong Everyday High Neck Bra,XS,Dark Charcoal,15.00,888562399677,S1T000022 : S1T000022-XS-DARC
Strong Everyday High Neck Bra,XS,Stone,15.00,888562399615,S1T000022 : S1T000022-XS-STON
Strong Everyday High Neck Bra,XXL,Stone,15.00,888562399660,S1T000022 : S1T000022-XXL-STON
Bring Your Power Crop Tank,L,Mango,15.00,888562399769,S1T000024 : S1T000024-L-MNGO
Bring Your Power Crop Tank,M,Mango,20.00,888562399752,S1T000024 : S1T000024-M-MNGO
Bring Your Power Crop Tank,S,Mango,15.00,888562399745,S1T000024 : S1T000024-S-MNGO
Bring Your Power Crop Tank,XL,Mango,10.00,888562399776,S1T000024 : S1T000024-XL-MNGO
Bring Your Power Crop Tank,XS,Mango,15.00,888562399738,S1T000024 : S1T000024-XS-MNGO
Bring Your Power Crop Tank,XXL,Mango,15.00,888562399783,S1T000024 : S1T000024-XXL-MNGO
Bring Your Power Zip-Up Hoodie,L,Stone,30.00,888562399585,S1T000032 : S1T000032-L-STON
Bring Your Power Zip-Up Hoodie,M,Stone,35.00,888562399578,S1T000032 : S1T000032-M-STON
